FORMAT = Name, Type, Patch, Ra, Dec, I, SpectralIndex='[]', LogarithmicSI, ReferenceFrequency='57712636.78915146', MajorAxis, MinorAxis, Orientation

# LSMTool history:
# 2024-11-29 20:26:46: LOAD (from file 'img/img-3c175.1-final-sources.txt')
# 2024-11-29 20:26:46: GROUP (algorithm = 'single')
# 2024-11-29 20:26:46: SETPATCHPOSITIONS (method = 'mid')
# 2024-11-29 20:26:46: SETPATCHPOSITIONS (method = 'mid')
# 2024-11-29 20:26:47: GROUP (algorithm = 'meanshift')
# 2024-11-29 20:26:47: SETPATCHPOSITIONS (method = 'mid')
# 2024-11-29 20:26:47: SETPATCHPOSITIONS (method = 'mid')
# 2024-11-29 20:26:47: FILTER (Patch = Patch_35 None)
# 2024-11-29 20:26:48: SETPATCHPOSITIONS (method = 'mid')

 , , 3c175.1, 7:14:04.6902, 14.37.49.6007
s0c259, POINT, 3c175.1, 7:13:40.457, 14.26.46.521, 0.02836008, [-0.7], false, 57712636.78915146, 0.0, 0.0, 0.0
s0c294, POINT, 3c175.1, 7:13:31.363, 14.29.32.452, 0.04928437, [-0.7], false, 57712636.78915146, 0.0, 0.0, 0.0
s0c300, POINT, 3c175.1, 7:14:30.168, 14.29.54.513, 0.01579972, [-0.7], false, 57712636.78915146, 0.0, 0.0, 0.0
s0c302, POINT, 3c175.1, 7:14:30.306, 14.29.56.512, 0.01568364, [-0.7], false, 57712636.78915146, 0.0, 0.0, 0.0
s0c303, POINT, 3c175.1, 7:14:30.168, 14.29.56.513, 0.02483461, [-0.7], false, 57712636.78915146, 0.0, 0.0, 0.0
s0c307, POINT, 3c175.1, 7:13:32.462, 14.30.40.462, 0.05810253, [-0.7], false, 57712636.78915146, 0.0, 0.0, 0.0
s0c328, POINT, 3c175.1, 7:13:25.705, 14.33.32.398, 0.03745864, [-0.7], false, 57712636.78915146, 0.0, 0.0, 0.0
s0c347, POINT, 3c175.1, 7:14:05.792, 14.36.16.6, 0.1113496, [-0.7], false, 57712636.78915146, 0.0, 0.0, 0.0
