FORMAT = Name, Type, Patch, Ra, Dec, I, SpectralIndex='[]', LogarithmicSI, ReferenceFrequency='57712892.08686584', MajorAxis, MinorAxis, Orientation

# LSMTool history:
# 2024-11-29 19:46:07: LOAD (from file 'img/img-3c204-final-sources.txt')
# 2024-11-29 19:46:07: GROUP (algorithm = 'single')
# 2024-11-29 19:46:07: SETPATCHPOSITIONS (method = 'mid')
# 2024-11-29 19:46:07: SETPATCHPOSITIONS (method = 'mid')
# 2024-11-29 19:46:07: GROUP (algorithm = 'meanshift')
# 2024-11-29 19:46:07: SETPATCHPOSITIONS (method = 'mid')
# 2024-11-29 19:46:08: SETPATCHPOSITIONS (method = 'mid')
# 2024-11-29 19:46:08: FILTER (Patch = Patch_10 None)
# 2024-11-29 19:46:08: SETPATCHPOSITIONS (method = 'mid')

 , , 3c204, 8:37:56.4530, 65.10.00.2637
s0c158, POINT, 3c204, 8:37:32.68, 65.03.47.187, 0.01255336, [-0.7], false, 57712892.08686584, 0.0, 0.0, 0.0
s0c159, POINT, 3c204, 8:37:32.679, 65.03.49.187, 0.02954807, [-0.7], false, 57712892.08686584, 0.0, 0.0, 0.0
s0c160, POINT, 3c204, 8:39:07.264, 65.04.19.807, 0.03428509, [-0.7], false, 57712892.08686584, 0.0, 0.0, 0.0
s0c164, POINT, 3c204, 8:38:27.117, 65.05.26.85, 0.01650485, [-0.7], false, 57712892.08686584, 0.0, 0.0, 0.0
s0c166, POINT, 3c204, 8:38:27.118, 65.05.28.85, 0.01233708, [-0.7], false, 57712892.08686584, 0.0, 0.0, 0.0
s0c224, POINT, 3c204, 8:38:23.995, 65.07.14.903, 0.01042572, [-0.7], false, 57712892.08686584, 0.0, 0.0, 0.0
s0c225, POINT, 3c204, 8:38:23.678, 65.07.14.908, 0.01476063, [-0.7], false, 57712892.08686584, 0.0, 0.0, 0.0
s0c226, POINT, 3c204, 8:38:23.361, 65.07.14.913, 0.0471895, [-0.7], false, 57712892.08686584, 0.0, 0.0, 0.0
