FORMAT = Name, Type, Ra, Dec, I, SpectralIndex='[]', LogarithmicSI, ReferenceFrequency, MajorAxis, MinorAxis, Orientation, Patch

# LSMTool history:
# 2025-01-27 17:29:34: SETPATCHPOSITIONS (method = 'mid')

 , , 3c274, 12:30:46.0518, 12.23.38.8383
s0c7599, POINT, 12:30:45.712, 12.15.39.838, -0.2794857, [-0.7], false, 57725267.99815525, 0.0, 0.0, 0, 3c274
s0c7627, POINT, 12:30:43.392, 12.16.01.836, -0.2924852, [-0.7], false, 57725267.99815525, 0.0, 0.0, 0, 3c274
s0c7737, POINT, 12:31:00.313, 12.17.31.826, 0.09168509, [-0.7], false, 57725267.99815525, 0.0, 0.0, 0, 3c274
s0c7778, POINT, 12:30:29.881, 12.18.01.796, -0.354122, [-0.7], false, 57725267.99815525, 0.0, 0.0, 0, 3c274
s0c7909, POINT, 12:30:22.918, 12.19.57.76, 0.04864647, [-0.7], false, 57725267.99815525, 0.0, 0.0, 0, 3c274
s0c8128, POINT, 12:30:50.215, 12.23.01.84, 12.28799, [-0.7], false, 57725267.99815525, 0.0, 0.0, 0, 3c274
s0c8136, POINT, 12:30:50.352, 12.23.03.84, -6.151236, [-0.7], false, 57725267.99815525, 0.0, 0.0, 0, 3c274
s0c8137, POINT, 12:30:50.215, 12.23.03.84, -5.091827, [-0.7], false, 57725267.99815525, 0.0, 0.0, 0, 3c274
s0c8141, POINT, 12:30:50.488, 12.23.05.84, 10.39639, [-0.7], false, 57725267.99815525, 0.0, 0.0, 0, 3c274
s0c8142, POINT, 12:30:48.167, 12.23.05.84, -0.2911405, [-0.7], false, 57725267.99815525, 0.0, 0.0, 0, 3c274
s0c8149, POINT, 12:30:47.894, 12.23.09.84, 0.2622714, [-0.7], false, 57725267.99815525, 0.0, 0.0, 0, 3c274
s0c8150, POINT, 12:30:47.758, 12.23.11.84, -5.367269, [-0.7], false, 57725267.99815525, 0.0, 0.0, 0, 3c274
