# (Name, Type, Patch, Ra, Dec, I, ReferenceFrequency='57710681.7647063', SpectralIndex, MajorAxis, MinorAxis, Orientation) = format

 , , 3C380, 18:29:31.8000, 48.44.46.0000
3C380_w1_i0_s0_g30, GAUSSIAN, 3C380, 18:29:31.840125, 48.44.45.331388, 75.87220129398972,  , [-0.767], 11.5793, 8.53873, 67.8329
3C380_w0_i0_s0_g3, GAUSSIAN, 3C380, 18:29:31.777965, 48.44.45.698813, 29.165783397046585,  , [-0.767], 6.21788, 2.60253, 148.683
3C380_w0_i0_s0_g0, GAUSSIAN, 3C380, 18:29:31.796228, 48.44.46.035461, 15.726348967095428,  , [-0.767], 0.781549, 0.560936, 142.207
3C380_w0_i0_s0_g5, GAUSSIAN, 3C380, 18:29:32.046043, 48.44.45.78135, 7.223600717993034,  , [-0.767], 1.48893, 0.843228, 156.899
3C380_w0_i0_s0_g4, GAUSSIAN, 3C380, 18:29:32.260051, 48.44.45.917589, 6.019159061763718,  , [-0.767], 3.23178, 1.2975, 142.536
3C380_w0_i0_s0_g2, GAUSSIAN, 3C380, 18:29:31.8739, 48.44.45.80892, 5.232460460986089,  , [-0.767], 1.26953, 0.687879, 29.2301
3C380_w0_i0_s0_g8, GAUSSIAN, 3C380, 18:29:31.944135, 48.44.47.663243, 4.1179707765511155,  , [-0.767], 3.26666, 0.902461, 86.2111
3C380_w0_i0_s0_g1, GAUSSIAN, 3C380, 18:29:32.093907, 48.44.43.983647, 3.623997236527953,  , [-0.767], 1.41948, 0.882278, 23.1674
3C380_w0_i0_s0_g6, GAUSSIAN, 3C380, 18:29:31.499053, 48.44.46.610986, 3.260377825122014,  , [-0.767], 4.84591, 0.94691, 26.8761
3C380_w0_i0_s0_g16, GAUSSIAN, 3C380, 18:29:31.777993, 48.44.48.913284, 2.368481155635749,  , [-0.767], 4.43563, 0.423231, 143.793
3C380_w0_i0_s0_g21, GAUSSIAN, 3C380, 18:29:31.534057, 48.44.44.734625, 1.7372927433839302,  , [-0.767], 3.37225, 2.27035, 171.11
3C380_w0_i0_s0_g20, GAUSSIAN, 3C380, 18:29:31.817445, 48.44.45.794388, 1.5825448597038347,  , [-0.767], 8.11172, 0.0, 140.679
3C380_w0_i0_s0_g15, GAUSSIAN, 3C380, 18:29:32.019931, 48.44.50.366358, 1.4986913266752115,  , [-0.767], 4.52082, 0.0, 118.962
3C380_w0_i4_s5_g27, GAUSSIAN, 3C380, 18:29:30.917117, 48.44.50.08875, 1.4384692438637456,  , [-0.767], 2.32644, 1.54505, 109.279
3C380_w0_i5_s6_g28, GAUSSIAN, 3C380, 18:29:30.755817, 48.44.51.359513, 1.1701379381721513,  , [-0.767], 2.31309, 1.68333, 169.221
3C380_w1_i6_s7_g29, GAUSSIAN, 3C380, 18:29:32.720379, 48.44.42.037394, 0.9658402395205965,  , [-0.767], 2.32748, 1.58295, 30.0878
3C380_w0_i2_s3_g25, GAUSSIAN, 3C380, 18:29:31.334497, 48.44.53.13154, 0.8575929514291012,  , [-0.767], 2.08275, 1.04194, 137.443
3C380_w0_i0_s0_g17, GAUSSIAN, 3C380, 18:29:32.026966, 48.44.48.696582, 0.79813317346335,  , [-0.767], 3.40196, 0.0, 153.656
3C380_w0_i1_s2_g24, GAUSSIAN, 3C380, 18:29:32.270372, 48.44.38.953659, 0.7554441021033238,  , [-0.767], 2.28424, 0.798279, 132.215
3C380_w0_i3_s4_g26, GAUSSIAN, 3C380, 18:29:31.0686, 48.44.49.004635, 0.7373012467753125,  , [-0.767], 1.83052, 1.01165, 103.006
3C380_w0_i0_s0_g7, GAUSSIAN, 3C380, 18:29:31.341939, 48.44.45.958755, 0.6346187840575349,  , [-0.767], 0.72752, 0.320709, 92.8481
