FORMAT = Name, Type, Patch, Ra, Dec, I, SpectralIndex='[]', LogarithmicSI, ReferenceFrequency='57715331.37084696', MajorAxis, MinorAxis, Orientation

# LSMTool history:
# 2024-11-29 22:35:26: LOAD (from file 'img/img-3c442a-final-pre-sources.txt')
# 2024-11-29 22:35:26: GROUP (algorithm = 'single')
# 2024-11-29 22:35:27: SETPATCHPOSITIONS (method = 'mid')
# 2024-11-29 22:35:28: SETPATCHPOSITIONS (method = 'mid')
# 2024-11-29 22:50:00: GROUP (algorithm = 'meanshift')
# 2024-11-29 22:50:58: SETPATCHPOSITIONS (method = 'mid')
# 2024-11-29 22:51:58: SETPATCHPOSITIONS (method = 'mid')
# 2024-11-29 22:52:02: FILTER (Patch = Patch_2 None)
# 2024-11-29 22:52:03: SETPATCHPOSITIONS (method = 'mid')

 , , 3c442a, 22:14:44.8900, 13.49.37.0639
s0c10001, POINT, 3c442a, 22:12:41.771, 13.51.19.177, -0.02602629, [-0.7], false, 57715331.37084696, 0.0, 0.0, 0.0
s0c10007, POINT, 3c442a, 22:14:10.076, 13.51.22.988, -0.02796908, [-0.7], false, 57715331.37084696, 0.0, 0.0, 0.0
s0c10008, POINT, 3c442a, 22:14:04.72, 13.51.22.935, -0.03465025, [-0.7], false, 57715331.37084696, 0.0, 0.0, 0.0
s0c10012, POINT, 3c442a, 22:15:20.801, 13.51.25.014, 0.03250207, [-0.7], false, 57715331.37084696, 0.0, 0.0, 0.0
s0c10013, POINT, 3c442a, 22:14:01.149, 13.51.24.895, -0.03125686, [-0.7], false, 57715331.37084696, 0.0, 0.0, 0.0
s0c10034, POINT, 3c442a, 22:14:02.247, 13.51.28.908, 0.02718508, [-0.7], false, 57715331.37084696, 0.0, 0.0, 0.0
s0c10035, POINT, 3c442a, 22:13:58.814, 13.51.28.867, 0.01891206, [-0.7], false, 57715331.37084696, 0.0, 0.0, 0.0
