FORMAT = Name, Type, Patch, Ra, Dec, I, SpectralIndex='[]', LogarithmicSI, ReferenceFrequency='57720753.31897537', MajorAxis, MinorAxis, Orientation

# LSMTool history:
# 2024-11-29 23:38:19: LOAD (from file 'img/img-3c66b-final-sources.txt')
# 2024-11-29 23:38:19: GROUP (algorithm = 'single')
# 2024-11-29 23:38:19: SETPATCHPOSITIONS (method = 'mid')
# 2024-11-29 23:38:19: SETPATCHPOSITIONS (method = 'mid')
# 2024-11-29 23:38:20: GROUP (algorithm = 'meanshift')
# 2024-11-29 23:38:20: SETPATCHPOSITIONS (method = 'mid')
# 2024-11-29 23:38:20: SETPATCHPOSITIONS (method = 'mid')
# 2024-11-29 23:38:20: FILTER (Patch = Patch_14 None)
# 2024-11-29 23:38:20: SETPATCHPOSITIONS (method = 'mid')

 , , 3c66b, 2:23:05.7579, 43.03.58.5945
s0c271, POINT, 3c66b, 2:24:14.79, 42.56.16.416, 0.01500249, [-0.7], false, 57720753.31897537, 0.0, 0.0, 0.0
s0c272, POINT, 3c66b, 2:24:14.792, 42.56.24.416, 0.01867468, [-0.7], false, 57720753.31897537, 0.0, 0.0, 0.0
s0c273, POINT, 3c66b, 2:24:14.611, 42.56.26.422, 0.007068602, [-0.7], false, 57720753.31897537, 0.0, 0.0, 0.0
s0c274, POINT, 3c66b, 2:24:14.429, 42.56.26.429, 0.01186575, [-0.7], false, 57720753.31897537, 0.0, 0.0, 0.0
s0c276, POINT, 3c66b, 2:23:09.952, 42.58.47.509, 0.04141468, [-0.7], false, 57720753.31897537, 0.0, 0.0, 0.0
s0c277, POINT, 3c66b, 2:23:10.134, 42.59.21.51, 0.08765163, [-0.7], false, 57720753.31897537, 0.0, 0.0, 0.0
s0c278, POINT, 3c66b, 2:23:10.134, 42.59.23.51, 0.2136986, [-0.7], false, 57720753.31897537, 0.0, 0.0, 0.0
s0c279, POINT, 3c66b, 2:23:10.863, 42.59.29.51, 0.1561136, [-0.7], false, 57720753.31897537, 0.0, 0.0, 0.0
