FORMAT = Name, Type, Patch, Ra, Dec, I, SpectralIndex='[]', LogarithmicSI, ReferenceFrequency='57721088.47053672', MajorAxis, MinorAxis, Orientation

# LSMTool history:
# 2024-11-29 23:46:54: LOAD (from file 'img/img-3c83.1b-final-sources.txt')
# 2024-11-29 23:46:54: GROUP (algorithm = 'single')
# 2024-11-29 23:46:54: SETPATCHPOSITIONS (method = 'mid')
# 2024-11-29 23:46:54: SETPATCHPOSITIONS (method = 'mid')
# 2024-11-29 23:46:54: GROUP (algorithm = 'meanshift')
# 2024-11-29 23:46:54: SETPATCHPOSITIONS (method = 'mid')
# 2024-11-29 23:46:55: SETPATCHPOSITIONS (method = 'mid')
# 2024-11-29 23:46:55: FILTER (Patch = Patch_7 None)
# 2024-11-29 23:46:55: SETPATCHPOSITIONS (method = 'mid')

 , , 3c83.1b, 3:18:31.5374, 41.51.12.9258
s0c200, POINT, 3c83.1b, 3:18:28.023, 41.43.17.948, 0.04392573, [-0.7], false, 57721088.47053672, 0.0, 0.0, 0.0
s0c205, POINT, 3c83.1b, 3:18:28.559, 41.43.25.944, 0.03566874, [-0.7], false, 57721088.47053672, 0.0, 0.0, 0.0
s0c209, POINT, 3c83.1b, 3:18:28.56, 41.43.27.944, 0.03651625, [-0.7], false, 57721088.47053672, 0.0, 0.0, 0.0
s0c264, POINT, 3c83.1b, 3:18:48.62, 41.49.33.696, -0.247523, [-0.7], false, 57721088.47053672, 0.0, 0.0, 0.0
s0c265, POINT, 3c83.1b, 3:18:49.694, 41.49.35.676, 0.06789513, [-0.7], false, 57721088.47053672, 0.0, 0.0, 0.0
s0c266, POINT, 3c83.1b, 3:18:49.515, 41.49.35.68, 0.3909571, [-0.7], false, 57721088.47053672, 0.0, 0.0, 0.0
s0c267, POINT, 3c83.1b, 3:18:48.263, 41.49.39.702, 5.996311, [-0.7], false, 57721088.47053672, 0.0, 0.0, 0.0
