FORMAT = Name, Type, Patch, Ra, Dec, I, SpectralIndex='[]', LogarithmicSI, ReferenceFrequency='57718814.1380831', MajorAxis, MinorAxis, Orientation

# LSMTool history:
# 2024-11-29 23:40:15: LOAD (from file 'img/img-4c14.11-final-sources.txt')
# 2024-11-29 23:40:15: GROUP (algorithm = 'single')
# 2024-11-29 23:40:15: SETPATCHPOSITIONS (method = 'mid')
# 2024-11-29 23:40:15: SETPATCHPOSITIONS (method = 'mid')
# 2024-11-29 23:40:16: GROUP (algorithm = 'meanshift')
# 2024-11-29 23:40:16: SETPATCHPOSITIONS (method = 'mid')
# 2024-11-29 23:40:16: SETPATCHPOSITIONS (method = 'mid')
# 2024-11-29 23:40:16: FILTER (Patch = Patch_7 None)
# 2024-11-29 23:40:16: SETPATCHPOSITIONS (method = 'mid')

 , , 4c14.11, 4:14:47.0673, 14.20.50.1184
s0c145, POINT, 4c14.11, 4:14:32.546, 14.15.41.139, 0.3825811, [-0.7], false, 57718814.1380831, 0.0, 0.0, 0.0
s0c146, POINT, 4c14.11, 4:14:31.583, 14.15.41.14, 0.4226285, [-0.7], false, 57718814.1380831, 0.0, 0.0, 0.0
s0c147, POINT, 4c14.11, 4:14:32.409, 14.15.43.139, 0.135706, [-0.7], false, 57718814.1380831, 0.0, 0.0, 0.0
s0c148, POINT, 4c14.11, 4:14:31.859, 14.15.43.139, 0.05201459, [-0.7], false, 57718814.1380831, 0.0, 0.0, 0.0
s0c149, POINT, 4c14.11, 4:14:31.721, 14.15.43.14, 0.1804642, [-0.7], false, 57718814.1380831, 0.0, 0.0, 0.0
s0c150, POINT, 4c14.11, 4:14:31.583, 14.15.43.14, 0.06589195, [-0.7], false, 57718814.1380831, 0.0, 0.0, 0.0
s0c151, POINT, 4c14.11, 4:14:31.721, 14.15.45.14, 0.3677443, [-0.7], false, 57718814.1380831, 0.0, 0.0, 0.0
s0c152, POINT, 4c14.11, 4:14:31.721, 14.15.47.14, 0.08047413, [-0.7], false, 57718814.1380831, 0.0, 0.0, 0.0
