FORMAT = Name, Type, Patch, Ra, Dec, I, SpectralIndex='[]', LogarithmicSI, ReferenceFrequency='57685851.68331762', MajorAxis, MinorAxis, Orientation

# LSMTool history:
# 2024-12-10 01:33:15: LOAD (from file 'img/img-da240-final-taper25arcsec-sources.txt')
# 2024-12-10 01:33:15: GROUP (algorithm = 'single')
# 2024-12-10 01:33:15: SETPATCHPOSITIONS (method = 'mid')
# 2024-12-10 01:33:15: SETPATCHPOSITIONS (method = 'mid')
# 2024-12-10 01:33:37: GROUP (algorithm = 'meanshift')
# 2024-12-10 01:33:39: SETPATCHPOSITIONS (method = 'mid')
# 2024-12-10 01:33:41: SETPATCHPOSITIONS (method = 'mid')
# 2024-12-10 01:33:41: FILTER (Patch = Patch_206 None)
# 2024-12-10 01:33:41: SETPATCHPOSITIONS (method = 'mid')

 , , da240, 7:47:49.0144, 55.52.26.2511
s0c743, POINT, da240, 7:48:14.865, 55.36.25.416, 0.01166996, [-0.7], false, 57685851.68331762, 0.0, 0.0, 0.0
s0c744, POINT, da240, 7:48:15.808, 55.36.29.426, 0.08367528, [-0.7], false, 57685851.68331762, 0.0, 0.0, 0.0
s0c745, POINT, da240, 7:48:15.572, 55.36.29.423, 0.1141804, [-0.7], false, 57685851.68331762, 0.0, 0.0, 0.0
s0c746, POINT, da240, 7:48:15.808, 55.36.31.426, 0.1240155, [-0.7], false, 57685851.68331762, 0.0, 0.0, 0.0
s0c747, POINT, da240, 7:48:16.516, 55.36.33.433, 0.01272961, [-0.7], false, 57685851.68331762, 0.0, 0.0, 0.0
s0c754, POINT, da240, 7:46:30.37, 55.39.25.47, 0.004486098, [-0.7], false, 57685851.68331762, 0.0, 0.0, 0.0
s0c755, POINT, da240, 7:46:30.605, 55.39.27.485, 0.01005718, [-0.7], false, 57685851.68331762, 0.0, 0.0, 0.0
s0c757, POINT, da240, 7:47:58.762, 55.39.37.171, 0.02471893, [-0.7], false, 57685851.68331762, 0.0, 0.0, 0.0
