FORMAT = Name, Type, Patch, Ra, Dec, I, SpectralIndex='[]', LogarithmicSI, ReferenceFrequency='57685115.51853133', MajorAxis, MinorAxis, Orientation

# LSMTool history:
# 2024-11-30 02:00:04: LOAD (from file 'img/img-ngc6251-final-taper40arcsec-sources.txt')
# 2024-11-30 02:00:04: GROUP (algorithm = 'single')
# 2024-11-30 02:00:04: SETPATCHPOSITIONS (method = 'mid')
# 2024-11-30 02:00:04: SETPATCHPOSITIONS (method = 'mid')
# 2024-11-30 02:00:13: GROUP (algorithm = 'meanshift')
# 2024-11-30 02:00:13: SETPATCHPOSITIONS (method = 'mid')
# 2024-11-30 02:00:14: SETPATCHPOSITIONS (method = 'mid')
# 2024-11-30 02:00:14: FILTER (Patch = Patch_133 None)
# 2024-11-30 02:00:14: SETPATCHPOSITIONS (method = 'mid')

 , , ngc6251, 16:31:49.2685, 82.33.01.2320
s0c756, POINT, ngc6251, 16:32:56.573, 82.32.02.317, 0.05828583, [-0.7], false, 57685115.51853133, 0.0, 0.0, 0.0
s0c757, POINT, ngc6251, 16:32:53.496, 82.32.04.327, 0.01115379, [-0.7], false, 57685115.51853133, 0.0, 0.0, 0.0
s0c758, POINT, ngc6251, 16:32:51.444, 82.32.04.333, 0.01284858, [-0.7], false, 57685115.51853133, 0.0, 0.0, 0.0
s0c760, POINT, ngc6251, 16:32:48.367, 82.32.06.341, 0.01787093, [-0.7], false, 57685115.51853133, 0.0, 0.0, 0.0
s0c762, POINT, ngc6251, 16:31:54.994, 82.32.10.264, -0.02773736, [-0.7], false, 57685115.51853133, 0.0, 0.0, 0.0
s0c763, POINT, ngc6251, 16:32:40.158, 82.32.12.355, 0.07302885, [-0.7], false, 57685115.51853133, 0.0, 0.0, 0.0
s0c764, POINT, ngc6251, 16:31:52.939, 82.32.12.253, -0.02706912, [-0.7], false, 57685115.51853133, 0.0, 0.0, 0.0
s0c766, POINT, ngc6251, 16:32:38.106, 82.32.14.357, 0.009256211, [-0.7], false, 57685115.51853133, 0.0, 0.0, 0.0
