# Frequency, Amplitude
9.794117647058825940e+06 1.121223857474827092e-02
1.072058823529411480e+07 1.781887425768129488e-02
1.217647058823529258e+07 2.443841982958920231e-02
1.350000000000000000e+07 3.544410018073843038e-02
1.760294117647058889e+07 6.188032532920219320e-02
1.799999999999999627e+07 6.847405112316033715e-02
1.932352941176470369e+07 7.509036922282458226e-02
2.263235294117646664e+07 9.711786728634125287e-02
2.448529411764705926e+07 1.169151820294344335e-01
2.699999999999999255e+07 1.301445907565194904e-01
3.044117647058823705e+07 1.521753162922798164e-01
3.242647058823528886e+07 1.719758585076167912e-01
3.494117647058822960e+07 2.005680351148979579e-01
3.785294117647059262e+07 2.357539375161373518e-01
4.129411764705882967e+07 2.731474309320939264e-01
4.407352941176471114e+07 3.236928737412858581e-01
4.645588235294117033e+07 3.742286341337464073e-01
4.830882352941177040e+07 4.247514846372321684e-01
4.923529411764705926e+07 4.708623805835269183e-01
5.069117647058822960e+07 5.191808675445390708e-01
5.108823529411765188e+07 5.608894913503742474e-01
5.188235294117648154e+07 5.850503485670022208e-01
5.280882352941177040e+07 6.289665633875548556e-01
5.386764705882354081e+07 6.926381358120319298e-01
5.452941176470587403e+07 7.497159824425509989e-01
5.519117647058822960e+07 8.024044668215853937e-01
5.572058823529411852e+07 8.375322747224374087e-01
5.611764705882354081e+07 8.616834495223341106e-01
5.625000000000000000e+07 8.902175316292280094e-01
5.664705882352942228e+07 9.275367931835785118e-01
5.717647058823529631e+07 9.648592822101730304e-01
5.717647058823529631e+07 9.802220500903692235e-01
5.770588235294119269e+07 9.912083656080558081e-01
5.823529411764706671e+07 1.000000000000000000e+00
5.902941176470588148e+07 9.934353214562354761e-01
5.955882352941177040e+07 9.649173767105603261e-01
5.995588235294119269e+07 9.210334366124450778e-01
6.008823529411764443e+07 9.100632584559772420e-01
6.061764705882354081e+07 8.617931835786212247e-01
6.075000000000000000e+07 8.420442809191841516e-01
6.101470588235293329e+07 7.937677510973405459e-01
6.141176470588234812e+07 7.498838109992254086e-01
6.207352941176470369e+07 6.928382390911437261e-01
6.233823529411764443e+07 6.511457526465272982e-01
6.286764705882354081e+07 6.116544022721404072e-01
6.313235294117647409e+07 5.984927704621739730e-01
6.379411764705882221e+07 5.831461399431964177e-01
6.405882352941177040e+07 5.655951458817454203e-01
6.472058823529411852e+07 5.414697908597985165e-01
6.485294117647057772e+07 5.239155693261038360e-01
6.525000000000000000e+07 5.019784404854117366e-01
6.551470588235293329e+07 4.734540407952490537e-01
6.564705882352940738e+07 4.515104570100696990e-01
6.617647058823529631e+07 4.317712367673637863e-01
6.644117647058824450e+07 4.032468370772010480e-01
6.750000000000000000e+07 3.593790343403046594e-01
6.816176470588234067e+07 3.308643170668731370e-01
6.948529411764706671e+07 2.957816937774335186e-01
7.094117647058823705e+07 2.365608055770719587e-01
7.305882352941176295e+07 1.839400981151562420e-01
7.597058823529411852e+07 1.181706687322487959e-01
7.822058823529411852e+07 8.311063774851523700e-02
7.980882352941176295e+07 4.364510715207848418e-02
8.311764705882354081e+07 4.221533694810150790e-03
