#
# MAP + IP
#
# - Gives the Ip address and MAC address of each BG/P I/O node
# 
# For foreign stations this is different:
# - Gives MAC address of local switch to connect to, and
#   IP address of BG/P I/O node where the data should be
#   sent to (see stationBGPconnection sheets in the Wiki).
#
#                IMPORTANT !!!!!! BEWARE
#
# 	The items in the seperate lines of this file must be seperated by either a SINGLE whitespace or a single tab!!!!
#	Furthermore, this file is read by PVSS controllers to fill in the database, ANY change could possibly have an impact
#	on PVSS, so please double check. In case of doubt, contact the PVSS maintainer
#
# node	  IP		MAC
#-----------------------------------------------
R00-M0-N00-J00 10.170.0.1 00:14:5E:7D:33:75
R00-M0-N00-J01 10.170.0.2 00:14:5E:7D:33:76
R00-M0-N01-J00 10.170.0.5 00:14:5E:7D:95:B0
R00-M0-N01-J01 10.170.0.6 00:14:5E:7D:95:B1
R00-M0-N02-J00 10.170.0.9 00:14:5E:7D:1B:A9
R00-M0-N02-J01 10.170.0.10 00:14:5E:7D:1B:AA
R00-M0-N03-J00 10.170.0.13 00:14:5E:7D:1E:47
R00-M0-N03-J01 10.170.0.14 00:14:5E:7D:1E:48
R00-M0-N04-J00 10.170.0.17 00:14:5E:7D:18:17
R00-M0-N04-J01 10.170.0.18 00:14:5E:7D:18:18
R00-M0-N05-J00 10.170.0.21 00:14:5E:7D:16:0D
R00-M0-N05-J01 10.170.0.22 00:14:5E:7D:16:0E
R00-M0-N06-J00 10.170.0.25 00:14:5E:7D:1C:7D
R00-M0-N06-J01 10.170.0.26 00:14:5E:7D:1C:7E
R00-M0-N07-J00 10.170.0.29 00:14:5E:7D:17:7B
R00-M0-N07-J01 10.170.0.30 00:14:5E:7D:17:7C
R00-M0-N08-J00 10.170.0.33 00:14:5E:7D:95:58
R00-M0-N08-J01 10.170.0.34 00:14:5E:7D:95:59
R00-M0-N09-J00 10.170.0.37 00:14:5E:7D:08:51
R00-M0-N09-J01 10.170.0.38 00:14:5E:7D:08:52
R00-M0-N10-J00 10.170.0.41 00:14:5E:7D:1C:09
R00-M0-N10-J01 10.170.0.42 00:14:5E:7D:1C:0A
R00-M0-N11-J00 10.170.0.45 00:14:5E:7D:18:CF
R00-M0-N11-J01 10.170.0.46 00:14:5E:7D:18:D0
R00-M0-N12-J00 10.170.0.49 00:14:5E:7D:33:E3
R00-M0-N12-J01 10.170.0.50 00:14:5E:7D:33:E4
R00-M0-N13-J00 10.170.0.53 00:14:5E:7D:90:E4
R00-M0-N13-J01 10.170.0.54 00:14:5E:7D:90:E5
R00-M0-N14-J00 10.170.0.57 00:14:5E:7D:94:7A
R00-M0-N14-J01 10.170.0.58 00:14:5E:7D:94:7B
R00-M0-N15-J00 10.170.0.61 00:14:5E:7D:9A:90
R00-M0-N15-J01 10.170.0.62 00:14:5E:7D:9A:91
R00-M1-N00-J00 10.170.0.129 00:14:5E:7D:1D:4D
R00-M1-N00-J01 10.170.0.130 00:14:5E:7D:1D:4E
R00-M1-N01-J00 10.170.0.133 00:14:5E:7D:0C:FB
R00-M1-N01-J01 10.170.0.134 00:14:5E:7D:0C:FC
R00-M1-N02-J00 10.170.0.137 00:14:5E:7D:34:13
R00-M1-N02-J01 10.170.0.138 00:14:5E:7D:34:14
R00-M1-N03-J00 10.170.0.141 00:14:5E:7D:33:DF
R00-M1-N03-J01 10.170.0.142 00:14:5E:7D:33:E0
R00-M1-N04-J00 10.170.0.145 00:14:5E:7D:95:F0
R00-M1-N04-J01 10.170.0.146 00:14:5E:7D:95:F1
R00-M1-N05-J00 10.170.0.149 00:14:5E:7D:16:83
R00-M1-N05-J01 10.170.0.150 00:14:5E:7D:16:84
R00-M1-N06-J00 10.170.0.153 00:14:5E:7D:19:7B
R00-M1-N06-J01 10.170.0.154 00:14:5E:7D:19:7C
R00-M1-N07-J00 10.170.0.157 00:14:5E:7D:95:3C
R00-M1-N07-J01 10.170.0.158 00:14:5E:7D:95:3D
R00-M1-N08-J00 10.170.0.161 00:14:5E:7D:94:46
R00-M1-N08-J01 10.170.0.162 00:14:5E:7D:94:47
R00-M1-N09-J00 10.170.0.165 00:14:5E:7D:95:52
R00-M1-N09-J01 10.170.0.166 00:14:5E:7D:95:53
R00-M1-N10-J00 10.170.0.169 00:14:5E:7D:95:3E
R00-M1-N10-J01 10.170.0.170 00:14:5E:7D:95:3F
R00-M1-N11-J00 10.170.0.173 00:14:5E:7D:95:54
R00-M1-N11-J01 10.170.0.174 00:14:5E:7D:95:55
R00-M1-N12-J00 10.170.0.177 00:14:5E:7D:94:7C
R00-M1-N12-J01 10.170.0.178 00:14:5E:7D:94:7D
R00-M1-N13-J00 10.170.0.181 00:14:5E:7D:95:40
R00-M1-N13-J01 10.170.0.182 00:14:5E:7D:95:41
R00-M1-N14-J00 10.170.0.185 00:14:5E:7D:94:A0
R00-M1-N14-J01 10.170.0.186 00:14:5E:7D:94:A1
R00-M1-N15-J00 10.170.0.189 00:14:5E:7D:94:A6
R00-M1-N15-J01 10.170.0.190 00:14:5E:7D:94:A7
R01-M0-N00-J00 10.170.1.1 00:14:5E:7D:1E:53
R01-M0-N00-J01 10.170.1.2 00:14:5E:7D:1E:54
R01-M0-N01-J00 10.170.1.5 00:14:5E:7D:94:60
R01-M0-N01-J01 10.170.1.6 00:14:5E:7D:94:61
R01-M0-N02-J00 10.170.1.9 00:14:5E:7D:1C:DD
R01-M0-N02-J01 10.170.1.10 00:14:5E:7D:1C:DE
R01-M0-N03-J00 10.170.1.13 00:14:5E:7D:34:37
R01-M0-N03-J01 10.170.1.14 00:14:5E:7D:34:38
R01-M0-N04-J00 10.170.1.17 00:14:5E:7D:96:38
R01-M0-N04-J01 10.170.1.18 00:14:5E:7D:96:39
R01-M0-N05-J00 10.170.1.21 00:14:5E:7D:94:80
R01-M0-N05-J01 10.170.1.22 00:14:5E:7D:94:81
R01-M0-N06-J00 10.170.1.25 00:14:5E:7D:33:5B
R01-M0-N06-J01 10.170.1.26 00:14:5E:7D:33:5C
R01-M0-N07-J00 10.170.1.29 00:14:5E:7D:95:04
R01-M0-N07-J01 10.170.1.30 00:14:5E:7D:95:05
R01-M0-N08-J00 10.170.1.33 00:14:5E:7D:1D:1B
R01-M0-N08-J01 10.170.1.34 00:14:5E:7D:1D:1C
R01-M0-N09-J00 10.170.1.37 00:14:5E:7D:93:1E
R01-M0-N09-J01 10.170.1.38 00:14:5E:7D:93:1F
R01-M0-N10-J00 10.170.1.41 00:14:5E:7D:92:AE
R01-M0-N10-J01 10.170.1.42 00:14:5E:7D:92:AF
R01-M0-N11-J00 10.170.1.45 00:14:5E:7D:17:CD
R01-M0-N11-J01 10.170.1.46 00:14:5E:7D:17:CE
R01-M0-N12-J00 10.170.1.49 00:14:5E:7D:92:C6
R01-M0-N12-J01 10.170.1.50 00:14:5E:7D:92:C7
R01-M0-N13-J00 10.170.1.53 00:14:5E:7D:97:BA
R01-M0-N13-J01 10.170.1.54 00:14:5E:7D:97:BB
R01-M0-N14-J00 10.170.1.57 00:14:5E:7D:1C:CB
R01-M0-N14-J01 10.170.1.58 00:14:5E:7D:1C:CC
R01-M0-N15-J00 10.170.1.61 00:14:5E:7D:96:36
R01-M0-N15-J01 10.170.1.62 00:14:5E:7D:96:37
R01-M1-N00-J00 10.170.1.129 00:14:5E:7D:94:5E
R01-M1-N00-J01 10.170.1.130 00:14:5E:7D:94:5F
R01-M1-N01-J00 10.170.1.133 00:14:5E:7D:1A:CF
R01-M1-N01-J01 10.170.1.134 00:14:5E:7D:1A:D0
R01-M1-N02-J00 10.170.1.137 00:14:5E:7D:95:56
R01-M1-N02-J01 10.170.1.138 00:14:5E:7D:95:57
R01-M1-N03-J00 10.170.1.141 00:14:5E:7D:1B:91
R01-M1-N03-J01 10.170.1.142 00:14:5E:7D:1B:92
R01-M1-N04-J00 10.170.1.145 00:14:5E:7D:94:86
R01-M1-N04-J01 10.170.1.146 00:14:5E:7D:94:87
R01-M1-N05-J00 10.170.1.149 00:14:5E:7D:1B:7D
R01-M1-N05-J01 10.170.1.150 00:14:5E:7D:1B:7E
R01-M1-N06-J00 10.170.1.153 00:14:5E:7D:1B:77
R01-M1-N06-J01 10.170.1.154 00:14:5E:7D:1B:78
R01-M1-N07-J00 10.170.1.157 00:14:5E:7D:94:A4
R01-M1-N07-J01 10.170.1.158 00:14:5E:7D:94:A5
R01-M1-N08-J00 10.170.1.161 00:14:5E:7D:8D:02
