# RSPConnections_local.dat
# 
# File that gives a list of the RSP Connections when an international station
# is used in local mode.
#
# In local mode, each station has its own connected hardware (IP + MAC 
# addresses. Using the information in this file, the RSPDriver.conf file is
# recreated whehn switching from ILT to local mode.

# Station_lane   DestIP    DestMAC         alias
#-------------------------------------------------
DE601_00 10.211.1.2   00:30:48:34:74:5F   lofar1
DE601_01 10.212.1.2   00:30:48:34:74:73   lofar2
DE601_02 10.213.1.2   00:30:48:34:74:69   lofar3
DE601_03 10.214.1.2   00:30:48:BB:90:2F   lofar4

DE602_00 10.170.0.182 00:12:F2:C6:C1:00   R00-BG1-DE602
DE602_01 10.170.0.182 00:12:F2:C6:C1:00   R00-BG1-DE602
DE602_02 10.170.0.182 00:12:F2:C6:C1:00   R00-BG1-DE602
DE602_03 10.170.0.182 00:12:F2:C6:C1:00   R00-BG1-DE602

DE603_00 10.170.0.38  00:12:F2:C6:C1:00   R00-BG1-DE603
DE603_01 10.170.0.38  00:12:F2:C6:C1:00   R00-BG1-DE603
DE603_02 10.170.0.38  00:12:F2:C6:C1:00   R00-BG1-DE603
DE603_03 10.170.0.38  00:12:F2:C6:C1:00   R00-BG1-DE603

DE604_00 10.170.0.37  00:12:F2:C6:C1:00   R00-BG1-DE604
DE604_01 10.170.0.37  00:12:F2:C6:C1:00   R00-BG1-DE604
DE604_02 10.170.0.37  00:12:F2:C6:C1:00   R00-BG1-DE604
DE604_03 10.170.0.37  00:12:F2:C6:C1:00   R00-BG1-DE604

DE605_00 10.170.0.30  00:12:F2:C6:BB:00   R00-BG1-DE605
DE605_01 10.170.0.30  00:12:F2:C6:BB:00   R00-BG1-DE605
DE605_02 10.170.0.30  00:12:F2:C6:BB:00   R00-BG1-DE605
DE605_03 10.170.0.30  00:12:F2:C6:BB:00   R00-BG1-DE605

FR606_00 10.211.6.2   00:25:90:92:58:CC   ALLEGRO1-FR606
FR606_01 10.212.6.2   00:25:90:61:77:40   ALLEGRO2-FR606
FR606_02 10.213.6.2   00:25:90:61:78:14   ALLEGRO3-FR606
FR606_03 10.214.6.2   00:25:90:61:77:86   ALLEGRO4-FR606

SE607_00 10.170.0.26  00:12:F2:C4:C6:00   R00-BG2-SE607
SE607_01 10.170.0.26  00:12:F2:C4:C6:00   R00-BG2-SE607
SE607_02 10.170.0.26  00:12:F2:C4:C6:00   R00-BG2-SE607
SE607_03 10.170.0.26  00:12:F2:C4:C6:00   R00-BG2-SE607

UK608_00 10.211.8.2 	00:26:6C:FB:79:69 largo1
UK608_01 10.212.8.2	00:26:6C:FC:CC:31 largo2
UK608_02 10.213.8.2 	00:A0:D1:EC:75:69 largo3 
UK608_03 10.214.8.2	00:A0:D1:EC:76:85 largo4

FI609_00 10.211.9.42  00:1B:21:B5:31:24   eth3 PC0
FI609_01 10.211.9.42  00:1B:21:B5:31:25   eth1 PC1
FI609_02 10.211.9.42  00:1B:21:B5:31:26   eth5 PC2
FI609_03 10.211.9.42  00:1B:21:B5:31:27   eth4 PC3

