# File that gives the MAC and IP address of each storage node
# This is required for the TBBDriver.
#
# Node   MAC address        IP address
#----------------------------------------
lse001 00:24:81:80:6e:9d 10.174.0.1
lse002 00:24:81:80:4e:3d 10.174.0.2
lse003 00:24:81:80:6b:59 10.174.0.3  
lse004 00:24:81:80:69:d9 10.174.0.4  
lse005 00:24:81:80:5d:4d 10.174.0.5  
lse006 00:24:81:80:6b:ed 10.174.0.6  
lse007 00:24:81:80:5a:75 10.174.0.7  
lse008 00:24:81:80:4f:79 10.174.0.8  
lse009 00:24:81:80:36:59 10.174.0.9  
lse010 00:24:81:80:55:81 10.174.0.10  
lse011 00:24:81:80:52:f9 10.174.0.11  
lse012 00:24:81:80:55:9d 10.174.0.12  
lse013 00:24:81:80:54:19 10.174.0.13  
lse014 00:24:81:80:69:fd 10.174.0.14
lse015 00:24:81:80:5e:25 10.174.0.15  
lse016 00:24:81:80:6e:39 10.174.0.16  
lse017 00:24:81:81:4a:a9 10.174.0.17  
lse018 00:24:81:80:55:d1 10.174.0.18  
lse019 00:24:81:80:6e:ad 10.174.0.19  
lse020 00:24:81:80:6e:7d 10.174.0.20 
lse021 00:24:81:80:6a:a1 10.174.0.21 
lse022 00:24:81:80:6e:3d 10.174.0.22 
lse023 00:24:81:80:6e:c1 10.174.0.23 
lse024 00:24:81:80:39:4d 10.174.0.24 
locus001 00:02:c9:0e:39:1e 10.135.252.1
locus002 00:02:c9:0e:3a:65 10.135.252.2
locus003 00:02:c9:0e:3a:64 10.135.252.3
locus004 00:02:c9:0e:39:26 10.135.252.4
locus005 00:02:c9:0e:39:27 10.135.252.5
locus006 00:02:c9:0e:3a:6c 10.135.252.6
locus007 00:02:c9:0e:39:1e 10.135.252.7
locus008 00:02:c9:0e:3a:65 10.135.252.8
locus009 00:02:c9:0e:3a:64 10.135.252.9
locus010 00:02:c9:0e:39:26 10.135.252.10
locus011 00:02:c9:0e:39:27 10.135.252.11
locus012 00:02:c9:0e:3a:6c 10.135.252.12
locus013 00:02:c9:0e:39:1e 10.135.252.13
locus014 00:02:c9:0e:3a:65 10.135.252.14
locus015 00:02:c9:0e:3a:64 10.135.252.15
locus016 00:02:c9:0e:39:26 10.135.252.16
locus017 00:02:c9:0e:39:27 10.135.252.17
locus018 00:02:c9:0e:3a:6c 10.135.252.18
locus019 00:02:c9:0e:39:1e 10.135.252.19
locus020 00:02:c9:0e:3a:65 10.135.252.20
locus021 00:02:c9:0e:3a:64 10.135.252.21
locus022 00:02:c9:0e:39:26 10.135.252.22
locus023 00:02:c9:0e:39:27 10.135.252.23
locus024 00:02:c9:0e:3a:6c 10.135.252.24
locus025 00:02:c9:0e:39:1e 10.135.252.25
locus026 00:02:c9:0e:3a:65 10.135.253.1
locus027 00:02:c9:0e:3a:64 10.135.253.2
locus028 00:02:c9:0e:39:26 10.135.253.3
